id,size,forks,open_issues,subscribers_count,stargazers_count,language_dictionary,owner_type,url,pushed_at,topics,description
557977,5291,2686,202,316,8001,"{'javascript': 58925, 'makefile': 636}",Organization,https://api.github.com/repos/socketio/socket.io-client,2019-12-14T17:39:03Z,[],realtime application framework client
68125931,5442,3173,2,527,7996,{'python': 204653},User,https://api.github.com/repos/ShangtongZhang/reinforcement-learning-an-introduction,2019-09-12T19:43:02Z,"['artificial-intelligence', 'reinforcement-learning']",python implementation of reinforcement learning an introduction
48301282,2413,591,254,196,7995,"{'clojure': 1834, 'coffeescript': 138, 'go': 146937, 'groovy': 331, 'java': 1930, 'javascript': 12388, 'makefile': 762, 'python': 1169, 'ruby': 305, 'rust': 470, 'scala': 975, 'shell': 8016}",Organization,https://api.github.com/repos/apex/apex,2019-12-18T08:37:48Z,"['aws', 'aws-lambda', 'faas', 'golang', 'lambda', 'node', 'serverless']",and manage aws lambda functions with ease
5552858,1451,1631,240,435,7995,"{'go': 182135, 'javascript': 4653, 'shell': 9372}",User,https://api.github.com/repos/cyfdecyf/cow,2019-08-09T14:39:52Z,[],http proxy written in go cow can automatically identify blocked sites and use parent proxies to access
7338354,13127,3647,166,517,7993,"{'c': 215501, 'c++': 20425, 'groff': 3144, 'html': 622, 'objective-c': 1693526, 'python': 4749, 'shell': 821}",Organization,https://api.github.com/repos/shadowsocks/shadowsocks-iOS,2019-01-16T09:09:12Z,[],removed according to regulations
128658421,855,237,28,79,7974,"{'javascript': 12163, 'typescript': 4526}",User,https://api.github.com/repos/klaussinani/signale,2019-10-28T14:12:59Z,"['cli', 'console', 'hackable', 'logger', 'nodejs']",highly configurable logging utility
71297170,1945,586,7,537,7970,"{'go': 279293, 'makefile': 816, 'shell': 578, 'tsql': 1427}",Organization,https://api.github.com/repos/Netflix/chaosmonkey,2019-10-07T05:28:22Z,[],chaos monkey is a resiliency tool that helps applications tolerate random instance failures
9467421,139306,1573,818,9,7968,"{'css': 32248, 'html': 34649, 'javascript': 1585864}",Organization,https://api.github.com/repos/almende/vis,2019-07-28T18:48:52Z,[],this project is not maintained anymore please go to https and and github com and visjs
29518121,85174,2267,67,488,7968,"{'c++': 22439000, 'cmake': 9322, 'java': 235, 'kotlin': 3307, 'objective-c': 2833, 'objective-c++': 2052}",User,https://api.github.com/repos/ShiqiYu/libfacedetection,2019-12-06T03:13:18Z,"['arm', 'cnn', 'face-detection']",an open source library for face detection in images the face detection speed can reach fps
33082868,1502,4046,9,763,7948,"{'css': 88825, 'dockerfile': 2123, 'html': 33611, 'java': 133754, 'javascript': 63426, 'shell': 847}",User,https://api.github.com/repos/sqshq/piggymetrics,2019-12-21T23:37:25Z,"['docker', 'microservice', 'microservices', 'spring-boot', 'spring-cloud']",microservice architecture with spring spring cloud and docker
21641241,2292,534,416,200,7930,"{'go': 280182, 'makefile': 1878}",Organization,https://api.github.com/repos/Masterminds/glide,2019-12-27T03:22:17Z,"['golang', 'package-management', 'semantic-versions']",package management for golang
6683352,32900,3146,475,638,7929,"{'asp': 113, 'c#': 6010, 'css': 167951, 'html': 2042996, 'javascript': 6175135, 'php': 14838, 'typescript': 9859}",User,https://api.github.com/repos/muaz-khan/WebRTC-Experiment,2019-10-02T14:34:03Z,"['webrtc', 'webrtc-demos', 'webrtc-examples', 'webrtc-experiments', 'webrtc-libraries', 'webrtc-samples', 'webrtc-tools']",webrtc and webrtc everything here is all about webrtc
68556226,12027,905,147,291,7904,"{'css': 101562, 'vue': 353972}",Organization,https://api.github.com/repos/museui/muse-ui,2019-12-28T09:23:30Z,"['material', 'muse-ui', 'vue2', 'vuejs2']",material design ui library for vuejs  
82468492,292,732,99,368,7903,{'shell': 2961},User,https://api.github.com/repos/k4m4/movies-for-hackers,2019-12-24T08:18:21Z,"['awesome', 'awesome-list', 'collection', 'curated-list', 'hacking', 'list', 'movies', 'sexy-lists']",a curated list of movies every hacker cyberpunk must watch
41233920,6204,707,38,298,7899,"{'java': 80227, 'shell': 432}",User,https://api.github.com/repos/HannahMitt/HomeMirror,2019-10-06T09:28:26Z,[],android application powering the mirror in my house
101609772,3099,267,21,135,7897,{'typescript': 117932},Organization,https://api.github.com/repos/wiredjs/wired-elements,2019-11-23T14:58:51Z,"['lit-element', 'lit-html', 'prototyping', 'web-components', 'webcomponents', 'wireframe', 'wireframes']",collection of custom elements that appear hand drawn great for wireframes or a fun look
7379964,253,701,35,208,7872,"{'css': 38656, 'html': 11007, 'javascript': 2174}",User,https://api.github.com/repos/chinchang/hint.css,2019-05-11T06:27:58Z,"['accessibility', 'bem', 'purecss', 'simple-api', 'tooltip', 'tooltip-library']",a css only tooltip library for your lovely websites
103126070,4153,1591,26,383,7864,"{'go': 76861, 'shell': 2182}",User,https://api.github.com/repos/snail007/goproxy,2019-12-23T09:43:18Z,"['dns-proxy', 'encryption-proxy', 'http', 'http-proxy', 'https-proxy', 'kcptun', 'reverse-proxy', 'socket', 'socks5', 'socks5-proxy', 'ss-proxy', 'tcp', 'tcp-proxy', 'tls', 'tls-proxy', 'transparent-proxy', 'udp', 'udp-proxy', 'upstream-proxies', 'websocket-proxy']",proxyhttp https socks  pp    websocket tcp udp dns dns api 
47524979,11672,322,15,150,7824,{'shell': 102806},User,https://api.github.com/repos/guarinogabriel/Mac-CLI,2019-12-24T01:03:52Z,[],os x command line tools for developers the ultimate tool to manage your mac it provides a huge set of command line commands that automatize the usage of your os x system
6580000,36583,674,663,260,7817,"{'batchfile': 7652, 'c': 89415, 'c++': 5128196, 'cmake': 156092, 'html': 34030, 'javascript': 198915, 'm4': 19093, 'python': 190686, 'shell': 352354}",Organization,https://api.github.com/repos/Studio3T/robomongo,2019-09-09T15:41:28Z,[],native cross platform mongodb management tool
44402056,5160,1699,28,469,7813,"{'css': 16220, 'html': 66844, 'javascript': 43739, 'shell': 2215}",Organization,https://api.github.com/repos/electron/electron-api-demos,2019-12-03T18:56:22Z,[],explore the electron apis
