language,count,count_distribution,bytes,bytes_distribution,percentage_sum,percentage_avg,percentage_std,percentage_median,percentage_max,percentage_min
sas,15,0.0021094079594993673,95125,3.3437049066352545e-06,0.008929721284223216,0.0006,0.0007,0.0004,0.002343852786361833,1.6236008090401953e-05
ampl,8,0.0011250175783996624,96172,3.3805076297600597e-06,0.008879710199164122,0.0011,0.0017,0.0002,0.0038579359530402516,3.947316126496716e-06
emberscript,3,0.00042188159189987344,100749,3.5413921223505413e-06,0.007430443320780678,0.0025,0.0032,0.0014,0.006029735826773966,3.439835582209636e-07
jasmin,4,0.0005625087891998312,2598,9.132137027530502e-08,0.007168380665776259,0.0018,0.0035,0.0001,0.0069941369281196625,9.804878024866151e-06
agda,3,0.00042188159189987344,3758,1.3209611604872837e-07,0.007076644201780867,0.0024,0.0018,0.0016,0.004450485524626397,0.001010351466037717
module management system,17,0.002390662354099283,222054,7.80534086032047e-06,0.007005370338329753,0.0004,0.0007,0.0002,0.0029009694111820214,1.4072054654493966e-06
augeas,2,0.0002812543945999156,15598,5.482797280809114e-07,0.006958005513181235,0.0035,0.0015,0.0035,0.004513762473526176,0.0024442430396550588
srecode template,2,0.0002812543945999156,40333,1.4177308804133478e-06,0.006489500979768588,0.0032,0.0046,0.0032,0.00647680123412314,1.2699745645448277e-05
riot,2,0.0002812543945999156,7855,2.761083000433106e-07,0.005997731389908975,0.003,0.0042,0.003,0.005994864837040782,2.866552868192867e-06
ec,6,0.0008437631837997469,391252,1.3752759339089162e-05,0.005723439881437241,0.001,0.0021,0.0001,0.005141865395373292,2.8112119837251177e-05
clean,4,0.0005625087891998312,60172,2.1150844850676113e-06,0.005722596592692186,0.0014,0.0011,0.001,0.003032896144288841,0.0006180133496987574
omgrofl,1,0.0001406271972999578,239,8.401003655041532e-09,0.005516827477955773,0.005516827477955773,0.005516827477955773,0.005516827477955773,0.005516827477955773,0.005516827477955773
game maker language,3,0.00042188159189987344,18227,6.406907682863682e-07,0.004798409311519312,0.0016,0.0014,0.0021,0.00262387451640607,5.090246050265173e-05
csound,1,0.0001406271972999578,175,6.151362508921624e-09,0.004039518027791884,0.004039518027791884,0.004039518027791884,0.004039518027791884,0.004039518027791884,0.004039518027791884
gcc machine description,1,0.0001406271972999578,3328469,0.00011699782524975915,0.004003281853315288,0.004003281853315288,0.004003281853315288,0.004003281853315288,0.004003281853315288,0.004003281853315288
sourcepawn,10,0.0014062719729995782,32111,1.128722294422756e-06,0.004002843174182939,0.0004,0.001,0.0,0.0033052261901543906,4.880124243390868e-07
mercury,2,0.0002812543945999156,1357,4.769942242632368e-08,0.0037971424496979784,0.0019,0.0027,0.0019,0.0037856054660449657,1.1536983653012868e-05
eiffel,3,0.00042188159189987344,26671,9.375027970025637e-07,0.0037525189909411332,0.0013,0.0014,0.0009,0.002825155696854798,2.625207283741917e-06
lolcode,2,0.0002812543945999156,718,2.523816160803272e-08,0.003448037690897964,0.0017,0.0001,0.0017,0.0018091475196224,0.0016388901712755643
