combo_id,combination,count,distribution,language_used
625,c css javascript python,3,0.0,4
626,c css html javascript python,3,0.0,5
627,c++ ruby,3,0.0,2
628,c c++ ruby shell,3,0.0,4
629,css dockerfile html ruby,3,0.0,4
630,groovy java kotlin scala,3,0.0,4
631,objective-c python ruby swift,3,0.0,4
632,c javascript shell,3,0.0,3
633,c c++ javascript python shell,3,0.0,5
634,c# css html javascript tsql,3,0.0,5
635,css html php shell,3,0.0,4
636,c++ css html javascript shell,3,0.0,5
637,c++ llvm,3,0.0,2
638,c# xslt,3,0.0,2
639,c html javascript,3,0.0,3
640,html rust shell,3,0.0,3
641,gap java,3,0.0,2
642,css html javascript ruby typescript,3,0.0,5
643,css html java kotlin tsql,3,0.0,5
644,emacs lisp html javascript,3,0.0,4
645,python roff shell,3,0.0,3
646,html javascript makefile python shell,3,0.0,5
647,css vim script,3,0.0,3
648,hack html php,3,0.0,3
649,html javascript mako python,3,0.0,4
650,python scala,3,0.0,2
651,css groovy html java shell,3,0.0,5
652,c c++ makefile perl python,3,0.0,5
653,c++ cmake java python,3,0.0,4
654,c html objective-c,3,0.0,3
655,css javascript r,3,0.0,3
656,batchfile css java shell,3,0.0,4
657,c c++ java javascript,3,0.0,4
658,makefile powershell python shell,3,0.0,4
659,c html java,3,0.0,3
660,html tex,3,0.0,2
661,c html objective-c swift,3,0.0,4
662,groovy java javascript shell,3,0.0,4
663,c c++ tsql,3,0.0,3
664,actionscript html javascript,3,0.0,3
665,ruby typescript,3,0.0,2
666,c python roff,3,0.0,3
667,batchfile powershell python shell,3,0.0,4
668,c c++ yacc,3,0.0,3
669,erlang makefile shell,3,0.0,3
670,javascript makefile typescript,3,0.0,3
671,coffeescript html javascript ruby,3,0.0,4
672,dockerfile makefile php,3,0.0,3
673,matlab python,3,0.0,2
674,nsis python,3,0.0,2
675,go makefile ruby shell,3,0.0,4
676,java ruby scala,3,0.0,3
677,c++ r,3,0.0,2
678,asp c# css html javascript,3,0.0,5
679,c# pascal,3,0.0,2
680,c c++ cmake tex,3,0.0,4
681,css java javascript shell,3,0.0,4
682,dockerfile html javascript python shell,3,0.0,5
683,clojure css html javascript,3,0.0,4
684,c++ cmake makefile python,3,0.0,4
685,html swift,3,0.0,2
686,groovy html java kotlin,3,0.0,4
687,batchfile c powershell python shell,3,0.0,5
688,html objective-c ruby,3,0.0,3
689,c# f# powershell,3,0.0,3
690,c# f# powershell shell,3,0.0,4
691,batchfile c# f# powershell shell,3,0.0,5
692,batchfile java python shell,3,0.0,4
693,c c++ python qmake,3,0.0,4
694,html java lex,3,0.0,3
